date,price,open,high,low,vol,change
2016-08-02,1368.20 ,1355.20 ,1369.70 ,1349.50 ,8.06K,0.96%
2016-08-01,1355.20 ,1352.70 ,1357.60 ,1349.10 ,4.30K,0.16%
2016-07-29,1353.10 ,1338.00 ,1357.40 ,1330.50 ,10.53K,1.20%
2016-07-28,1337.00 ,1343.50 ,1348.40 ,1335.10 ,14.04K,0.63%
2016-07-27,1328.60 ,1321.00 ,1344.00 ,1317.30 ,2.32K,0.46%
2016-07-26,1322.50 ,1317.00 ,1325.70 ,1316.30 ,1.03K,0.09%
2016-07-25,1321.30 ,1323.80 ,1325.00 ,1314.30 ,1.71K,-0.30%
2016-07-22,1325.30 ,1332.80 ,1335.40 ,1321.60 ,0.96K,-0.56%
2016-07-21,1332.80 ,1316.00 ,1335.60 ,1312.90 ,1.78K,0.88%
2016-07-20,1321.20 ,1334.40 ,1340.70 ,1314.70 ,0.57K,-0.97%
2016-07-19,1334.20 ,1329.50 ,1336.30 ,1329.50 ,0.32K,0.23%
2016-07-18,1331.10 ,1333.30 ,1337.10 ,1325.70 ,0.47K,0.14%
2016-07-15,1329.30 ,1338.20 ,1340.30 ,1324.80 ,0.47K,-0.36%
2016-07-14,1334.10 ,1347.80 ,1348.50 ,1323.00 ,0.40K,-0.85%
2016-07-13,1345.60 ,1337.20 ,1348.10 ,1331.40 ,0.23K,0.62%
2016-07-12,1337.30 ,1356.70 ,1360.60 ,1333.00 ,0.34K,-1.59%
2016-07-11,1358.90 ,1376.20 ,1376.20 ,1355.10 ,2.01K,-0.12%
2016-07-08,1360.50 ,1362.30 ,1369.90 ,1338.60 ,1.85K,-0.26%
2016-07-07,1364.10 ,1366.80 ,1374.40 ,1354.10 ,1.67K,-0.36%
2016-07-06,1369.00 ,1363.30 ,1378.50 ,1363.30 ,1.45K,0.62%
2016-07-05,1360.60 ,1347.00 ,1361.20 ,1342.50 ,1.62K,0.14%
2016-07-04,1358.70 ,1345.00 ,1360.30 ,1338.50 ,353.81K,1.37%
2016-07-01,1340.40 ,1334.10 ,1346.80 ,1334.10 ,0.41K,1.39%
